item_code,HV,SS,OS,MS,weight,description
3.1.01.1.1.10.0,2.4065914381589066,0.033776601902062886,,,0.15121993951201998,frocks; skirts; etc. (no.)
3.1.01.1.1.13.0,2.385701517917341,0.0,,,0.16969993212002,school/college uniform: boys
3.1.01.1.1.14.0,2.1736982259646527,0.0,,,0.13529994588002,school/college uniform: girls
3.1.01.2.1.01.X,2.6259224434773376,0.0,,,0.19626992149203,coat; jacket; sweater; windcheater (no.)
3.1.01.2.1.02.0,5.241436271928741,0.0,,,0.0002899998840000463,knitting wool (gm)
3.1.01.3.1.03.X,2.7216279265243433,0.08752787617331959,,,0.6766097293561,cloth for shirt; pyjama; kurta; salwar; etc. (metre)
3.1.01.3.1.04.X,2.280695088001048,0.0026755601571967214,,,0.42345983061606,cloth for coat; trousers; suit; etc. (metre)
3.1.01.3.1.06.0,2.732471836330707,0.0,,,0.05150997939600001,clothing [first-hand]: other
3.1.01.3.1.07.0,7.8266994091372935,0.0,,,0.012679994927999998,clothing: second-hand
3.1.01.3.1.08.X,2.992880224455469,0.0,,,0.17774992890002,gamchha; towel; handkerchief (no.)
3.1.01.3.1.09.X,7.254929446003015,0.0,,,0.01144999542,headwear; belts; ties (no.)
3.1.01.4.2.01.X,1.7088298398898278,0.0,,,0.12457995016800999,washerman; laundry; ironing
3.1.01.4.2.02.X,2.1385623931545132,0.0,,,0.38900984439606,tailor
3.1.02.1.1.01.X,2.5285723373083786,0.039501929679401804,,,0.20890991643603002,leather boots; shoes
3.1.02.1.1.02.X,2.9884508050498506,0.0,,,0.18208992716402,leather sandals; chappals; etc.
3.1.02.1.1.03.0,3.3346578747057443,0.0,,,0.07540996983601,other leather footwear
3.1.02.1.1.04.X,3.7240190332029246,0.0,,,0.31247987500804,rubber/PVC footwear
3.1.02.1.1.05.0,2.4584706760506942,0.04117271038537451,,,0.17107993156801998,other footwear
4.1.01.1.2.01.X,1.5377249219094697,0.0,,,9.51041619583352,house rent; garage rent
4.1.01.2.2.01.X,1.5961234755500413,0.0,,,0.28318988672404,residential building and land [cost of repairs only]
4.1.01.2.2.02.X,2.3970297505514853,0.0,,,0.16135993545602,water charges
4.1.01.2.2.03.0,2.6415987402888828,0.026623772769859944,,,0.11477995408800999,watch man charges [other cons taxes]
5.1.01.1.1.01.0,3.1411596195503773,0.0,,,2.26041909583236,electricity (std. unit)
5.1.01.2.1.01.X,13.722734128756573,0.0,,,1.2862094855161998,LPG [excl. conveyance]
5.1.01.3.1.01.P,27.356730861894853,0.0,,,0.34161986335205,kerosene – PDS (litre)
5.1.01.3.1.02.0,9.515072254060923,0.0,,,0.20711991715203,kerosene – other sources (litre)
5.1.01.3.1.04.0,10.544802896402947,0.0,,,0.0024299990280003884,diesel (litre) [excl. conveyance]
5.1.01.3.1.05.0,3.5234781512651314,0.02193002065915184,,,0.18411992635201999,other fuel
5.1.01.4.1.01.0,4.684962016445332,0.0,,,0.010729995708,coke
5.1.01.4.1.02.0,2.3762275058125346,0.0,,,2.0675491729803297,firewood and chips
5.1.01.4.1.03.0,3.7278516502415506,0.05565680234207149,,,0.03864998454,coal
5.1.01.4.1.04.0,5.583846275304486,0.0,,,0.002289999084000366,charcoal
5.1.01.4.1.05.0,3.966744294703213,0.0,,,0.44195982321606997,dung cake
6.1.01.1.1.01.0,3.6937601947866527,0.0,,,0.05714997714,bedstead
6.1.01.1.1.02.0,2.4122386834870833,0.0,,,0.033429986628,almirah; dressing table
6.1.01.1.1.03.X,2.515048903417862,0.0,,,0.015309993876000001,chair; stool; bench; table
6.1.01.1.1.06.0,3.089046066015263,0.1738515580789517,,,0.024709990116,other furniture and fixtures [couch; sofa; etc.]
6.1.01.1.1.07.0,6.443694511618022,0.0,,,0.0022099991160003537,bathroom and sanitary equipment
6.1.01.1.1.09.X,4.630496113534715,0.0,,,0.0015199993920002432,carpet; daree and other floor mattings
6.1.01.2.1.01.0,1.9342988811694195,0.0,,,0.18314992674002,bed sheet; bed cover (no.)
6.1.01.2.1.02.0,1.6370535327307227,0.05637832336486248,,,0.07319997072001,rug; blanket (no.)
6.1.01.2.1.03.X,2.30809339856066,0.0,,,0.047329981068,pillow; quilt; mattress (no.)
6.1.01.2.1.04.X,5.6295540831704605,0.0,,,0.001869999252000299,cloth for upholstery; curtains; tablecloth; etc. (metre)
6.1.01.2.1.05.0,3.4103352935909403,0.0,,,0.012579994968,mosquito net (no.)
6.1.01.2.1.06.X,7.388305315958648,0.01924108343758346,,,0.0005499997800000881,bedding: others
6.1.01.3.1.01.X,2.120807734164656,0.0,,,0.053679978528,air conditioner; air cooler
6.1.01.3.1.02.0,2.9869340574597945,0.0,,,0.043169982732,inverter
6.1.01.3.1.03.0,3.446749878804873,0.0,,,0.0007699996920001231,sewing machine
6.1.01.3.1.04.0,2.959607416245076,0.0,,,0.023719990512,washing machine
6.1.01.3.1.05.X,16.69467184211176,0.005326265700189903,,,9.999996000001599e-06,stove; gas burner
6.1.01.3.1.06.0,1.7397276515714688,0.0,,,0.09166996333201,refrigerator
6.1.01.3.1.07.0,2.0684763423601296,0.0,,,0.015419993832,electric fan
6.1.01.3.1.08.0,2.972576473268373,0.0,,,0.009389996244001502,water purifier
6.1.01.3.1.09.X,9.074262486369038,0.018730335788374353,,,0.0023199990720003706,electric iron; heater; toaster; oven and other electric heating appliances
6.1.01.3.1.10.0,3.467169257338482,0.0,,,0.005389997844000861,other cooking/household appliances
6.1.01.3.1.12.0,6.905603025930935,0.0,,,0.004319998272000691,other durables [specify]
6.1.01.4.1.01.X,3.7630472908607837,0.0,,,0.17954992818002,stainless steel utensils
6.1.01.4.1.02.0,5.48311545992684,0.0,,,0.00022999990800003678,pressure cooker/pressure pan
6.1.01.4.1.03.0,3.908084631347403,0.0,,,0.012699994919999999,other metal utensils
6.1.01.4.1.05.0,2.5553647105787554,0.039093474763812974,,,0.012469995012,other crockery and utensils
