item_code,description
6.1.03.2.1.02.0,diesel for vehicle
6.1.03.2.1.03.X,lubricants and other fuels for vehicle
6.1.03.2.2.04.0,other conveyance expenses
6.1.03.3.2.01.X,railway fare
6.1.03.3.2.02.0,bus/tram fare
6.1.03.3.2.03.X,taxi; auto-rickshaw fare
6.1.03.3.2.04.0,rickshaw [hand drawn and cycle] fare
6.1.03.3.2.05.0,horse cart fare
6.1.03.3.2.06.0,school bus; van; etc.
6.1.03.3.2.07.0,air fare [normal]: economy class [adult]
6.1.03.3.2.08.0,steamer; boat fare
6.1.03.3.2.09.0,porter charges
6.1.03.4.1.01.0,mobile handset
6.1.03.5.2.01.0,telephone charges: landline
6.1.03.5.2.02.X,telephone charges: mobile
6.1.03.5.2.03.0,internet expenses
6.1.04.1.1.01.X,radio; tape recorder; 2-in-1
6.1.04.1.1.02.0,television
6.1.04.1.1.03.0,VCR/VCD/DVD player
6.1.04.1.1.05.X,camera and photographic equipment
6.1.04.1.1.06.X,PC/Laptop/other peripherals incl. software
6.1.04.1.1.07.0,CD; DVD; audio/video cassette; etc.
6.1.04.1.1.11.0,goods for recreation and hobbies
6.1.04.1.1.12.X,sports goods; toys; etc.
6.1.04.1.1.14.X,newspapers; periodicals
6.1.04.1.2.04.0,photography
6.1.04.1.2.08.0,VCD/DVD hire [incl. instrument]
6.1.04.2.2.01.0,cinema: new release [normal day]
6.1.04.2.2.02.0,monthly charges for cable TV connection
6.1.04.2.2.04.0,library charges
6.1.04.2.2.05.0,other entertainment
6.1.04.2.2.06.0,club fees
6.1.04.2.2.07.0,hotel lodging charges
6.1.05.1.1.02.X,books; journals: first hand
6.1.05.1.1.04.X,stationery; photocopying charges
6.1.05.2.2.01.X,tuition and other fees [school; college; etc.]
6.1.05.2.2.02.X,private tutor/coaching centre
6.1.05.2.2.03.0,other educational expenses [incl. fees for enrollment in web-based training]
6.1.06.1.1.01.0,toilet soap
6.1.06.1.1.02.X,toothpaste; toothbrush; comb; etc.
6.1.06.1.1.03.X,powder; snow; cream; lotion and perfume
6.1.06.1.1.04.X,hair oil; shampoo; hair cream
6.1.06.1.1.05.X,shaving blades; shaving stick; razor
6.1.06.1.1.06.X,shaving cream; aftershave lotion
6.1.06.1.1.07.0,sanitary napkins
6.1.06.1.1.09.X,clock; watch
6.1.06.1.1.10.X,suitcase; trunk; box; handbag and other travel goods
6.1.06.1.1.11.X,umbrella; raincoat
6.1.06.1.1.12.X,lighter [bidi/cigarette/gas stove]
6.1.06.1.1.14.X,any other personal goods
6.1.06.2.1.01.0,gold
6.1.06.2.1.02.0,silver
6.1.06.2.1.04.0,other ornaments
6.1.06.3.2.01.X,barber; beautician; etc.
