item_code,HV
1.1.10.1.1.05.0,6.6153927743636265
1.1.10.1.1.06.0,12.584095549878281
1.1.10.1.1.07.0,11.21626214461154
1.1.10.1.1.08.0,2.6232849348057505
1.1.10.1.1.09.0,5.607201740427515
1.1.12.1.1.01.0,1.700519295507341
1.1.12.1.1.02.0,2.382037787105744
1.1.12.2.1.01.0,1.5192391958517764
1.1.12.3.1.01.X,2.18381833101829
1.1.12.3.1.03.X,2.0039775448998034
1.1.12.3.1.04.0,1.9936672641906281
1.1.12.3.1.05.0,2.348802358455042
1.2.11.1.1.01.0,4.085560522444675
1.2.11.1.1.02.0,7.10073074728938
1.2.11.2.1.01.0,1.1136079695851966
1.2.11.2.1.02.X,1.8265948038294706
1.2.11.2.1.03.X,0.9837547566519073
1.2.11.2.1.04.X,1.4607069972312556
2.1.01.1.1.01.0,3.7101292435929745
2.1.01.1.1.02.0,5.8139473635675065
2.1.01.1.1.03.0,7.842842476873314
2.1.01.1.1.04.0,6.398258843852763
2.1.01.1.1.05.0,4.5365758449203994
2.1.01.2.1.01.0,4.620017669473818
2.1.01.2.1.02.0,2.4957565466660996
2.1.01.2.1.03.X,3.6142029270401492
2.1.01.3.1.01.0,2.958161110930819
2.1.01.3.1.02.X,4.599056191457763
2.1.01.3.1.03.0,2.4359436726762667
2.1.01.3.1.04.0,7.022336598725965
2.1.01.3.1.05.0,4.26376500518391
2.1.01.3.1.06.0,6.8593811652311825
2.1.01.3.1.07.0,4.824239448219684
2.1.01.3.1.08.0,3.923568252563438
3.1.01.1.1.01.0,3.1665534662674673
3.1.01.1.1.02.0,2.4208520856769313
3.1.01.1.1.03.X,2.7985185216522215
3.1.01.1.1.04.0,3.5928822733709254
3.1.01.1.1.05.0,2.8931032398960013
3.1.01.1.1.06.X,2.5922160835699204
3.1.01.1.1.07.X,2.1373419266039444
3.1.01.1.1.08.X,3.2653287141036302
3.1.01.1.1.09.0,1.911619346649912
3.1.01.1.1.10.0,2.4065914381589066
3.1.01.1.1.13.0,2.385701517917341
3.1.01.1.1.14.0,2.1736982259646527
3.1.01.2.1.01.X,2.6259224434773376
3.1.01.2.1.02.0,5.241436271928741
3.1.01.3.1.03.X,2.7216279265243433
3.1.01.3.1.04.X,2.280695088001048
3.1.01.3.1.06.0,2.732471836330707
3.1.01.3.1.07.0,7.8266994091372935
3.1.01.3.1.08.X,2.992880224455469
3.1.01.3.1.09.X,7.254929446003015
3.1.01.4.2.01.X,1.7088298398898278
3.1.01.4.2.02.X,2.1385623931545132
3.1.02.1.1.01.X,2.5285723373083786
3.1.02.1.1.02.X,2.9884508050498506
3.1.02.1.1.03.0,3.3346578747057443
3.1.02.1.1.04.X,3.7240190332029246
3.1.02.1.1.05.0,2.4584706760506942
4.1.01.1.2.01.X,1.5377249219094697
4.1.01.2.2.01.X,1.5961234755500413
4.1.01.2.2.02.X,2.3970297505514853
4.1.01.2.2.03.0,2.6415987402888828
5.1.01.1.1.01.0,3.1411596195503773
5.1.01.2.1.01.X,13.722734128756573
5.1.01.3.1.01.P,27.356730861894853
5.1.01.3.1.02.0,9.515072254060923
5.1.01.3.1.04.0,10.544802896402947
5.1.01.3.1.05.0,3.5234781512651314
5.1.01.4.1.01.0,4.684962016445332
5.1.01.4.1.02.0,2.3762275058125346
5.1.01.4.1.03.0,3.7278516502415506
5.1.01.4.1.04.0,5.583846275304486
5.1.01.4.1.05.0,3.966744294703213
6.1.01.1.1.01.0,3.6937601947866527
6.1.01.1.1.02.0,2.4122386834870833
6.1.01.1.1.03.X,2.515048903417862
6.1.01.1.1.06.0,3.089046066015263
6.1.01.1.1.07.0,6.443694511618022
6.1.01.1.1.09.X,4.630496113534715
6.1.01.2.1.01.0,1.9342988811694195
6.1.01.2.1.02.0,1.6370535327307227
6.1.01.2.1.03.X,2.30809339856066
6.1.01.2.1.04.X,5.6295540831704605
6.1.01.2.1.05.0,3.4103352935909403
6.1.01.2.1.06.X,7.388305315958648
6.1.01.3.1.01.X,2.120807734164656
6.1.01.3.1.02.0,2.9869340574597945
6.1.01.3.1.03.0,3.446749878804873
6.1.01.3.1.04.0,2.959607416245076
6.1.01.3.1.05.X,16.69467184211176
6.1.01.3.1.06.0,1.7397276515714688
6.1.01.3.1.07.0,2.0684763423601296
6.1.01.3.1.08.0,2.972576473268373
6.1.01.3.1.09.X,9.074262486369038
6.1.01.3.1.10.0,3.467169257338482
6.1.01.3.1.12.0,6.905603025930935
6.1.01.4.1.01.X,3.7630472908607837
6.1.01.4.1.02.0,5.48311545992684
6.1.01.4.1.03.0,3.908084631347403
