item_code,weight
6.1.01.1.1.07.0,2.2099991160003535e-05
6.1.01.1.1.09.X,1.5199993920002431e-05
6.1.01.2.1.01.0,0.001831499267400293
6.1.01.2.1.02.0,0.000731999707200117
6.1.01.2.1.03.X,0.00047329981068007564
6.1.01.2.1.04.X,1.8699992520002988e-05
6.1.01.2.1.05.0,0.0001257999496800201
6.1.01.2.1.06.X,5.4999978000008796e-06
6.1.01.3.1.01.X,0.0005367997852800858
6.1.01.3.1.02.0,0.000431699827320069
6.1.01.3.1.03.0,7.69999692000123e-06
6.1.01.3.1.04.0,0.00023719990512003792
6.1.01.3.1.05.X,9.9999960000016e-08
6.1.01.3.1.06.0,0.0009166996333201465
6.1.01.3.1.07.0,0.00015419993832002464
6.1.01.3.1.08.0,9.389996244001502e-05
6.1.01.3.1.09.X,2.319999072000371e-05
6.1.01.3.1.10.0,5.3899978440008614e-05
6.1.01.3.1.12.0,4.319998272000691e-05
6.1.01.4.1.01.X,0.001795499281800287
6.1.01.4.1.02.0,2.2999990800003677e-06
6.1.01.4.1.03.0,0.0001269999492000203
6.1.01.4.1.05.0,0.00012469995012001994
6.1.01.4.1.06.0,0.0002857998856800457
6.1.01.4.1.07.0,1.4299994280002286e-05
6.1.01.5.1.01.X,0.0018173992730402906
6.1.01.5.1.02.0,3.909998436000625e-05
6.1.01.5.1.03.0,0.000106299957480017
6.1.01.5.1.04.0,0.0004561998175200729
6.1.01.5.1.05.0,1.3999994400002238e-05
6.1.01.6.1.01.X,0.0006601997359201055
6.1.01.6.1.02.0,3.7999984800006076e-05
6.1.01.6.1.03.0,0.008665796533681385
6.1.01.6.1.04.0,0.0011648995340401863
6.1.01.6.1.05.X,0.0020369991852003254
6.1.01.6.1.06.0,0.0009093996362401453
6.1.01.6.1.07.0,0.0012290995083601966
6.1.01.6.1.08.0,0.0008462996614801352
6.1.01.6.1.09.0,0.0003266998693200522
6.1.01.6.1.10.0,0.001575599369760252
6.1.01.7.2.01.X,0.006391197443521022
6.1.01.7.2.03.0,0.00041209983516006586
6.1.01.7.2.05.0,0.0003950998419600632
6.1.01.7.2.07.X,0.0015720993711602512
6.1.02.1.2.05.X,0.004405698237720705
6.1.02.2.1.01.X,0.04011478395408641
6.1.02.2.1.03.X,2.099999160000336e-06
6.1.02.2.1.04.0,0.0005609997756000896
6.1.02.2.2.06.0,0.0011598995360401854
6.1.02.2.2.07.0,0.007904896838041265
6.1.02.2.2.08.X,0.004759698096120761
6.1.03.1.1.01.0,0.004805298077880768
6.1.03.1.1.02.X,0.007926596829361268
6.1.03.1.1.03.0,0.001301099479560208
6.1.03.1.1.05.X,0.0007220997111601154
6.1.03.2.1.01.0,0.021869691252123496
6.1.03.2.1.02.0,0.0014799994080002365
6.1.03.2.1.03.X,0.0005001997999200799
6.1.03.2.2.04.0,9.849996060001574e-05
6.1.03.3.2.01.X,0.0018494992602002957
6.1.03.3.2.02.0,0.013671694531322186
6.1.03.3.2.03.X,0.005682497727000909
6.1.03.3.2.04.0,0.0004552998178800728
6.1.03.3.2.05.0,3.859998456000617e-05
6.1.03.3.2.06.0,0.002458299016680393
6.1.03.3.2.07.0,0.0007721996911201235
6.1.03.3.2.08.0,4.299998280000687e-06
6.1.03.3.2.09.0,1.989999204000318e-05
6.1.03.4.1.01.0,0.001350599459760216
6.1.03.5.2.01.0,0.0017063993174402726
6.1.03.5.2.02.X,0.01839159264336294
6.1.03.5.2.03.0,0.0008003996798401279
6.1.04.1.1.01.X,3.449998620000551e-05
6.1.04.1.1.02.0,0.0016208993516402593
6.1.04.1.1.03.0,5.7899976840009254e-05
6.1.04.1.1.05.X,2.9999988000004795e-05
6.1.04.1.1.06.X,0.001107299557080177
6.1.04.1.1.07.0,4.689998124000749e-05
6.1.04.1.1.11.0,1.5599993760002494e-05
6.1.04.1.1.12.X,0.0011242995502801798
6.1.04.1.1.14.X,0.00181349927460029
6.1.04.1.2.04.0,0.00020079991968003212
6.1.04.1.2.08.0,2.7999988800004475e-05
6.1.04.2.2.01.0,0.0013069994772002091
6.1.04.2.2.02.0,0.00820049671980131
6.1.04.2.2.04.0,1.99999920000032e-07
6.1.04.2.2.05.0,0.001132399547040181
6.1.04.2.2.06.0,1.4599994160002333e-05
6.1.04.2.2.07.0,9.039996384001445e-05
6.1.05.1.1.02.X,0.005590197763920893
6.1.05.1.1.04.X,0.0038799984480006205
6.1.05.2.2.01.X,0.028981388407444634
6.1.05.2.2.02.X,0.0057664976934009215
6.1.05.2.2.03.0,0.0004017998392800642
6.1.06.1.1.01.0,0.00638169744732102
6.1.06.1.1.02.X,0.003560498575800569
6.1.06.1.1.03.X,0.003932398427040629
6.1.06.1.1.04.X,0.00450159819936072
6.1.06.1.1.05.X,0.000975599609760156
6.1.06.1.1.06.X,0.00044079982368007046
6.1.06.1.1.07.0,0.0008920996431601426
6.1.06.1.1.09.X,1.699999320000272e-06
6.1.06.1.1.10.X,1.6099993560002575e-05
6.1.06.1.1.11.X,0.0006196997521200991
6.1.06.1.1.12.X,2.8999988400004635e-06
6.1.06.1.1.14.X,2.99999880000048e-07
6.1.06.2.1.01.0,0.010803495678601727
6.1.06.2.1.02.0,0.0011174995530001787
6.1.06.2.1.04.0,0.0001156999537200185
6.1.06.3.2.01.X,0.005516997793200882
