item_code,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,modal_cluster,modal_prob
6.1.01.7.2.07.X,0.1,0.89,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.89
6.1.02.1.2.05.X,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
6.1.02.2.1.01.X,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
6.1.02.2.1.03.X,0.0,0.0,0.01,0.518,0.448,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.518
6.1.02.2.1.04.0,0.01,0.964,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.964
6.1.02.2.2.06.0,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
6.1.02.2.2.07.0,0.454,0.542,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.542
6.1.02.2.2.08.X,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
6.1.03.1.1.01.0,0.152,0.838,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.838
6.1.03.1.1.02.X,0.0,0.134,0.826,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.826
6.1.03.1.1.03.0,0.0,0.532,0.46,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.532
6.1.03.1.1.05.X,0.0,0.284,0.694,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.694
6.1.03.2.1.01.0,0.0,0.0,0.0,0.0,0.08,0.634,0.278,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.634
6.1.03.2.1.02.0,0.0,0.0,0.0,0.0,0.0,0.104,0.64,0.25,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.64
6.1.03.2.1.03.X,0.568,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.568
6.1.03.2.2.04.0,0.0,0.0,0.032,0.604,0.35,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.604
6.1.03.3.2.01.X,0.494,0.502,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.502
6.1.03.3.2.02.0,0.0,0.334,0.654,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.654
6.1.03.3.2.03.X,0.296,0.698,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.698
6.1.03.3.2.04.0,0.152,0.838,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.838
6.1.03.3.2.05.0,0.0,0.0,0.0,0.02,0.488,0.452,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.488
6.1.03.3.2.06.0,0.006,0.96,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.96
6.1.03.3.2.07.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.924,0.0,cluster_14,0.924
6.1.03.3.2.08.0,0.0,0.0,0.044,0.626,0.316,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.626
6.1.03.3.2.09.0,0.0,0.0,0.0,0.02,0.496,0.444,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.496
6.1.03.4.1.01.0,0.006,0.954,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.954
6.1.03.5.2.01.0,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
6.1.03.5.2.02.X,0.0,0.006,0.55,0.428,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.55
6.1.03.5.2.03.0,0.018,0.96,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.96
6.1.04.1.1.01.X,0.0,0.006,0.636,0.348,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.636
6.1.04.1.1.02.0,0.0,0.006,0.574,0.406,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.574
6.1.04.1.1.03.0,0.0,0.0,0.0,0.014,0.494,0.452,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.494
6.1.04.1.1.05.X,0.0,0.0,0.044,0.628,0.314,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.628
6.1.04.1.1.06.X,0.006,0.812,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.812
6.1.04.1.1.07.0,0.0,0.044,0.742,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.742
6.1.04.1.1.11.0,0.0,0.0,0.0,0.02,0.496,0.444,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.496
6.1.04.1.1.12.X,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
6.1.04.1.1.14.X,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
6.1.04.1.2.04.0,0.582,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.582
6.1.04.1.2.08.0,0.0,0.0,0.0,0.0,0.0,0.096,0.632,0.266,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7,0.632
6.1.04.2.2.01.0,0.0,0.142,0.818,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.818
6.1.04.2.2.02.0,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
6.1.04.2.2.04.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,1.0
6.1.04.2.2.05.0,0.0,0.54,0.452,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.54
6.1.04.2.2.06.0,0.13,0.86,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.86
6.1.04.2.2.07.0,0.0,0.0,0.0,0.29,0.65,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.65
6.1.05.1.1.02.X,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
6.1.05.1.1.04.X,0.546,0.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.546
6.1.05.2.2.01.X,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
6.1.05.2.2.02.X,0.006,0.82,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.82
6.1.05.2.2.03.0,0.44,0.556,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.556
6.1.06.1.1.01.0,0.0,0.032,0.678,0.286,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.678
6.1.06.1.1.02.X,0.988,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.988
6.1.06.1.1.03.X,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
6.1.06.1.1.04.X,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.99
6.1.06.1.1.05.X,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
6.1.06.1.1.06.X,0.992,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.992
6.1.06.1.1.07.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.99
6.1.06.1.1.09.X,0.0,0.0,0.288,0.674,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_4,0.674
6.1.06.1.1.10.X,0.0,0.03,0.674,0.292,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.674
6.1.06.1.1.11.X,0.048,0.94,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_2,0.94
6.1.06.1.1.12.X,0.0,0.4,0.592,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_3,0.592
6.1.06.1.1.14.X,0.0,0.0,0.006,0.41,0.54,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_5,0.54
6.1.06.2.1.01.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.406,0.518,0.054,0.0,0.0,0.0,0.0,0.0,cluster_9,0.518
6.1.06.2.1.02.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.766,0.156,0.0,0.0,0.0,0.0,cluster_10,0.766
6.1.06.2.1.04.0,0.0,0.0,0.0,0.0,0.084,0.63,0.278,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_6,0.63
6.1.06.3.2.01.X,0.654,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_1,0.654
